id,question
1,"Một người bán hàng bỏ ra 80,000 đồng tiền vốn và bị lỗ 6%. Để tính số tiền lỗ ta phải tính?
A. 80,000 : 6
B. 80,000 x 6
C. 80,000 : (6 x 100)
D. (80,000 x 6) : 100"
10,"8 dm2 24 cm2 = ……… dm2. Số thích hợp điền vào chỗ chấm là?
A. 824
B. 82,4
C. 8,24
D. 0,824"
100,"10% của 11,5m2 là?
A. 10,15dm2
B. 1,5m2
C. 15,5m2
D. 1,15m2"
1004,"Một tam giác có đáy bằng 15 cm và gấp 2,5 lần chiều cao tương ứng. Diện tích tam giác đó là?
A. 90 cm2
B. 37,5 cm2
C. 45 cm2
D. 18,75 cm2"
1005,"Một tấm thiệp hình chữ nhật có chiều rộng bằng 9 cm, chiều dài gấp 2 lần chiều rộng. Vậy điện tích của tấm thiệp đó là?
A. 162 cm2
B. 81 cm2
C. 99 cm2
D. 63 cm2"
101,"10% của 5dm là?
A. 0,5 m
B. 5 dm
C. 5 cm
D. 50 cm"
1016,"Một vườn có 500 cây ăn quả, trong đó có 300 cây xoài và 200 cây nhãn. Vậy tỉ số giữa cây xoài và cây nhãn trong vườn là?
A. $\frac{3}{2}$
B. $\frac{2}{3}$
C. $\frac{1}{2}$
D. $\frac{1}{4}$"
102,"10% của 8 dm là?
A. 10 cm
B. 70 cm
C. 8 cm
D. 0,8 cm"
1021,"Một xe máy đi quãng đường dài 90km mất 2 giờ 15 phút. Vận tốc của xe máy là?
A. 40 km/giờ
B. 202,5 km/giờ
C. 30 km/giờ
D. 36 km/giờ"
1026,"Một xưởng may đã dùng hết 350 m vải để may quần áo, trong đó số vải may quần chiếm 60%. Vậy số vải may áo là?
A. 210 m
B. 140 m
C. 150 m
D. 180 m"
1027,"Một xưởng may trong tuần thứ nhất thực hiện được 3/8 kế hoạch tháng, tuần thứ hai thực hiện được 3/16 kế hoạch, trong tuần thứ ba thực hiện được 1/3 kế hoạch. Để hoàn thành kế hoạch của tháng thì trong tuần cuối xưởng phải thực hiện bao nhiêu phần kế hoạch?
A. 5/48
B. 43/48
C. 11/48
D. 27/48"
